Model,Task,Analyte,auroc,auprc,f1,precision,recall,accuracy,balanced_accuracy,brier_score,ece,f1_optimized,precision_optimized,recall_optimized,optimal_threshold,rmse,mae,r2,explained_variance,median_ae,detected_rmse,censored_rmse,concordance_index,subset_accuracy,hamming_loss,macro_auroc,micro_auroc,macro_auprc,micro_auprc,macro_f1,micro_f1,label_ranking_avg_precision,mean_per_label_auroc,auroc_PFOS,auprc_PFOS,auroc_PFOA,auprc_PFOA,auroc_PFBS,auprc_PFBS,auroc_PFHxS,auprc_PFHxS,auroc_HFPO-DA,auprc_HFPO-DA
deep_tobit_classifier,T1,PFOS,0.60237241058794,0.25077225615686116,0.0,0.0,0.0,0.7842377260981912,0.5,0.17590661716809963,0.1414613663893212,0.43824701195219123,0.3283582089552239,0.6586826347305389,0.16838383838383839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabpfn_classifier,T1,PFOS,0.8563805941110639,0.7672148618370074,0.6743589743589744,0.942652329749104,0.5249500998003992,0.8906115417743324,0.7580818593455593,0.09062084555625916,0.04561541733732262,0.6329113924050633,0.5785123966942148,0.6986027944111777,0.1386868686868687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voting_ensemble,T1,PFOS,0.8497305224805743,0.7548170708618306,0.654073199527745,0.8005780346820809,0.5528942115768463,0.8738156761412575,0.7575014715215368,0.09709583725572775,0.04089925104883075,0.6072374227714034,0.5443037974683544,0.6866267465069861,0.2772727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stacking_ensemble,T1,PFOS,0.8491375294441321,0.7539029879439166,0.5493150684931507,0.4181438998957247,0.8003992015968064,0.7166236003445305,0.7469870802053225,0.19954391951775316,0.29304454969307914,0.5660919540229885,0.44219977553310885,0.7864271457085829,0.5247474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icp_classifier,T1,PFOS,0.731063956655607,0.6721625145526477,0.6344993968636912,0.801829268292683,0.5249500998003992,0.8695090439276486,0.7446277132719734,0.1191924586892128,0.11693732870844022,0.5341959334565619,0.4974182444061962,0.5768463073852296,0.10898989898989898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_regressor,T2,PFOS,,,,,,,,,,,,,,0.1579133034944003,0.0105276191410242,-0.0009643243888390884,0.00020029329787873973,0.0031914394348859787,0.3399065474098765,6.196427099204276e-05,0.6391283269102772,,,,,,,,,,,,,,,,,,,,
random_forest_regressor,T2,PFOS,,,,,,,,,,,,,,0.15737520915773948,0.01139394063346148,0.005845685304426751,0.006126869515459488,0.0028007831830914195,0.33839880131983063,0.00450267665065459,0.7239455368661512,,,,,,,,,,,,,,,,,,,,
mlp_regressor,T2,PFOS,,,,,,,,,,,,,,0.15423763995450898,0.021654184416105327,0.04509118216807295,0.04577186251563781,0.004783442226052284,0.31013564005354705,0.05998554540505217,0.5259579118630697,,,,,,,,,,,,,,,,,,,,
cnn1d_regressor,T2,PFOS,,,,,,,,,,,,,,0.15839036940707552,0.0246057870791556,-0.007021410982558152,-0.005524982551122326,0.005781598389148712,0.30228880363731175,0.08065059801221693,0.6685086731801113,,,,,,,,,,,,,,,,,,,,
lightgbm_regressor,T2,PFOS,,,,,,,,,,,,,,0.15778774589065642,0.010557238027079613,0.000626785611020475,0.001755453844642263,0.0031575439790587387,0.3396314686844257,3.558728185189747e-05,0.48184836109353557,,,,,,,,,,,,,,,,,,,,
